"pack_id","pack_name","pack_round_type","pack_sort_order","question_id","question_round_type","answer_type","question_text","option_a","option_b","option_c","option_d","answer_index","answer_text","accepted_answers","explanation","audio_path","image_path","media_type","prompt_target","clue_source","primary_show_key","media_duration_ms","audio_clip_type"
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0174","general","text","Name the musical theatre song from these lyrics:

When the moon is in the Seventh House
And Jupiter aligns with Mars","","","","","","Aquarius","","""Aquarius"" is from Hair.","","","text","song_title","lyric_excerpt","hair","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0175","general","text","Name the musical theatre song from these lyrics:

Gliddy glub gloopy
Nibby nabby noopy
La la la lo lo","","","","","","Good Morning Starshine","","""Good Morning Starshine"" is from Hair.","","","text","song_title","lyric_excerpt","hair","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0176","general","text","Name the musical theatre song from these lyrics:

My love and me as we sing
Our early morning singing song","","","","","","Good Morning Starshine","","""Good Morning Starshine"" is from Hair.","","","text","song_title","lyric_excerpt","hair","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0177","general","text","Name the musical theatre song from these lyrics:

I want it long, straight, curly, fuzzy
Snaggy, shaggy, ratty, matty
Oily, greasy, fleecy, shining
Gleaming, steaming, flaxen, waxen","","","","","","Hair","","""Hair"" is from Hair.","","","text","song_title","lyric_excerpt","hair","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0178","general","text","Name the musical theatre song from these lyrics:

Every day's like an open door
Every night is a fantasy
Every sound's like a symphony","","","","","","Good Morning Baltimore","","""Good Morning Baltimore"" is from Hairspray.","","","text","song_title","lyric_excerpt","hairspray","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0179","general","text","Name the musical theatre song from these lyrics:

I know every step
I know every song
I know there's a place where I belong","","","","","","Good Morning Baltimore","","""Good Morning Baltimore"" is from Hairspray.","","","text","song_title","lyric_excerpt","hairspray","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0180","general","text","Name the musical theatre song from these lyrics:

Everybody says
That a guy who's such a gem
Won't look my way
Well, the laugh's on them","","","","","","I Can Hear The Bells","","""I Can Hear The Bells"" is from Hairspray.","","","text","song_title","lyric_excerpt","hairspray","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0181","general","text","Name the musical theatre song from these lyrics:

You can't stop an avalanche
As it races down the hill","","","","","","You Can't Stop The Beat","","""You Can't Stop The Beat"" is from Hairspray.","","","text","song_title","lyric_excerpt","hairspray","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0182","general","text","Name the musical theatre song from these lyrics:

'Cause the world keeps spinning 'round and 'round
And my heart's keeping time to the speed of sound
I was lost 'til I heard the drums then I found my way","","","","","","You Can't Stop The Beat","","""You Can't Stop The Beat"" is from Hairspray.","","","text","song_title","lyric_excerpt","hairspray","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0183","general","text","Name the musical theatre song from these lyrics:

How does a bastard, orphan, son of a whore and a
Scotsman, dropped in the middle of a forgotten
Spot in the Caribbean by Providence, impoverished in squalor
Grow up to be a hero and a scholar?","","","","","","Alexander Hamilton","","""Alexander Hamilton"" is from Hamilton.","","","text","song_title","lyric_excerpt","hamilton","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0184","general","text","Name the musical theatre song from these lyrics:

Hey yo, I'm just like my country
I'm young, scrappy and hungry","","","","","","My Shot","","""My Shot"" is from Hamilton.","","","text","song_title","lyric_excerpt","hamilton","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0185","general","text","Name the musical theatre song from these lyrics:

Love doesn't discriminate
Between the sinners
And the saints","","","","","","Wait For It","","""Wait For It"" is from Hamilton.","","","text","song_title","lyric_excerpt","hamilton","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0186","general","text","Name the musical theatre song from these lyrics:

So don't throw away this thing we had
Cause when push comes to shove
I will kill your friends and family to remind you of my love","","","","","","You'll Be Back","","""You'll Be Back"" is from Hamilton.","","","text","song_title","lyric_excerpt","hamilton","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0187","general","text","Name the musical theatre song from these lyrics:

Looking hot; buying stuff they cannot.
I like drinking hard; maxing Dad's credit card.","","","","","","Candy Store","","""Candy Store"" is from Heathers.","","","text","song_title","lyric_excerpt","heathers","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0188","general","text","Name the musical theatre song from these lyrics:

Sorry, but I really had to wake you;
See, I decided I must ride you till I break you.","","","","","","Dead Girl Walking","","""Dead Girl Walking"" is from Heathers.","","","text","song_title","lyric_excerpt","heathers","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0189","general","text","Name the musical theatre song from these lyrics:

I need got a goal again
I need got a drive again
I wanna feel my heart coming alive again","","","","","","Before the Parade Passes By","","""Before the Parade Passes By"" is from Hello, Dolly!.","","","text","song_title","lyric_excerpt","hello_dolly","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0190","general","text","Name the musical theatre song from these lyrics:

I went away from the lights of Fourteenth Street
And into my personal haze","","","","","","Hello, Dolly!","Hello Dolly","""Hello, Dolly!"" is from Hello, Dolly!.","","","text","song_title","lyric_excerpt","hello_dolly","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0191","general","text","Name the musical theatre song from these lyrics:

You're still glowin', you're still crowin'
You're still goin' strong","","","","","","Hello, Dolly!","Hello Dolly","""Hello, Dolly!"" is from Hello, Dolly!.","","","text","song_title","lyric_excerpt","hello_dolly","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0192","general","text","Name the musical theatre song from these lyrics:

Get out your feathers
Your patent leathers
Your beads and buckles and bows","","","","","","Put on Your Sunday Clothes","","""Put on Your Sunday Clothes"" is from Hello, Dolly!.","","","text","song_title","lyric_excerpt","hello_dolly","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0193","general","text","Name the musical theatre song from these lyrics:

Yes, I can hear that choo choo callin' me on
On board that happiness express","","","","","","So Long Dearie","","""So Long Dearie"" is from Hello, Dolly!.","","","text","song_title","lyric_excerpt","hello_dolly","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0194","general","text","Name the musical theatre song from these lyrics:

Don't come a knockin'
I'll be all dolled up
And singin' that song
That says you dog, I told you so","","","","","","So Long Dearie","","""So Long Dearie"" is from Hello, Dolly!.","","","text","song_title","lyric_excerpt","hello_dolly","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0195","general","text","Name the musical theatre song from these lyrics:

And on those cold winter nights, Horace...
You can snuggle up to your cash register.
It's a little lumpy but it rings!","","","","","","So Long Dearie","","""So Long Dearie"" is from Hello, Dolly!.","","","text","song_title","lyric_excerpt","hello_dolly","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0196","general","text","Name the musical theatre song from these lyrics:

Brush my teeth in the shower
Shampoo twice.
Clean and Primp for an hour,
Old spice is nice.","","","","","","Another Saturday Night in New York","","""Another Saturday Night in New York"" is from I Love You Because.","","","text","song_title","lyric_excerpt","","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0197","general","text","Name the musical theatre song from these lyrics:

There's a neat logic to it
It's just how I do it.
If you think that it's stupid,
You're wrong.","","","","","","Coffee","","""Coffee"" is from I Love You Because.","","","text","song_title","lyric_excerpt","","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0198","general","text","Name the musical theatre song from these lyrics:

People will say that we're crazy,
crazy to fall for each other,
but then again, what do they know?","","","","","","I Love You Because","","""I Love You Because"" is from I Love You Because.","","","text","song_title","lyric_excerpt","","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0199","general","text","Name the musical theatre song from these lyrics:

He'll have a bump
Live in a dump
Be such a chump
That if you hump you'll need a penis-pump","","","","","","The Actuary Song","","""The Actuary Song"" is from I Love You Because.","","","text","song_title","lyric_excerpt","","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0200","general","text","Name the musical theatre song from these lyrics:

So in order to find my perfect man
I need to find someone who's perfectly wrong!","","","","","","The Actuary Song","","""The Actuary Song"" is from I Love You Because.","","","text","song_title","lyric_excerpt","","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0201","general","text","Name the musical theatre song from these lyrics:

Did I abuse her, or show her disdain?
Why does she run from me?","","","","","","Agony","","""Agony"" is from Into the Woods.","","","text","song_title","lyric_excerpt","into_the_woods","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0202","general","text","Name the musical theatre song from these lyrics:

How do you say to your child in the night?
Nothing's all black, but then nothing's all white","","","","","","Children Will Listen","","""Children Will Listen"" is from Into the Woods.","","","text","song_title","lyric_excerpt","into_the_woods","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0203","general","text","Name the musical theatre song from these lyrics:

When you're way up high
And you look below
At the world you left
And the things you know","","","","","","Giants in the Sky","","""Giants in the Sky"" is from Into the Woods.","","","text","song_title","lyric_excerpt","into_the_woods","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0204","general","text","Name the musical theatre song from these lyrics:

And he showed me things
Many beautiful things,
That I hadn't thought to explore.","","","","","","I Know Things Now","","""I Know Things Now"" is from Into the Woods.","","","text","song_title","lyric_excerpt","into_the_woods","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0205","general","text","Name the musical theatre song from these lyrics:

And though scary is exciting,
Nice is different than good.","","","","","","I Know Things Now","","""I Know Things Now"" is from Into the Woods.","","","text","song_title","lyric_excerpt","into_the_woods","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0206","general","text","Name the musical theatre song from these lyrics:

Witches can be right, Giants can be good.
You decide what's right you decide what's good","","","","","","No One Is Alone","","""No One Is Alone"" is from Into the Woods.","","","text","song_title","lyric_excerpt","into_the_woods","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0207","general","text","Name the musical theatre song from these lyrics:

Sometimes people leave you.
Halfway through the wood.","","","","","","No One Is Alone","","""No One Is Alone"" is from Into the Woods.","","","text","song_title","lyric_excerpt","into_the_woods","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0208","general","text","Name the musical theatre song from these lyrics:

Now it's he and not you
Who is stuck with a shoe,
In a stew, in the goo,
And you've learned something, too","","","","","","On the Steps of the Palace","","""On the Steps of the Palace"" is from Into the Woods.","","","text","song_title","lyric_excerpt","into_the_woods","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0209","general","text","Name the musical theatre song from these lyrics:

When all I've done;
All the dreaming,
Scheming and screaming,
Become one!","","","","","","This Is The Moment","","""This Is The Moment"" is from Jekyll & Hyde.","","","text","song_title","lyric_excerpt","","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0210","general","text","Name the musical theatre song from these lyrics:

Listen, surely I've exceeded expectations,
Tried for three years, seems like thirty.
Could you ask as much from any other man?","","","","","","Gethsemane (I Only Want To Say)","Gethsemane","""Gethsemane (I Only Want To Say)"" is from Jesus Christ Superstar.","","","text","song_title","lyric_excerpt","jesus_christ_superstar","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0211","general","text","Name the musical theatre song from these lyrics:

Should I bring him down?
Should I scream and shout?
Should I speak of love,
Let my feelings out?","","","","","","I Don't Know How To Love Him","","""I Don't Know How To Love Him"" is from Jesus Christ Superstar.","","","text","song_title","lyric_excerpt","jesus_christ_superstar","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0212","general","text","Name the musical theatre song from these lyrics:

Yet, if he said he loved me,
I'd be lost. I'd be frightened.","","","","","","I Don't Know How To Love Him","","""I Don't Know How To Love Him"" is from Jesus Christ Superstar.","","","text","song_title","lyric_excerpt","jesus_christ_superstar","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0213","general","text","Name the musical theatre song from these lyrics:

Prove to me that you're no fool; walk across my swimming pool.
If you do that for me, then I'll let you go free.","","","","","","King Herod's Song (Try It And See)","King Herod's Song","""King Herod's Song (Try It And See)"" is from Jesus Christ Superstar.","","","text","song_title","lyric_excerpt","jesus_christ_superstar","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0214","general","text","Name the musical theatre song from these lyrics:

Every time I look at you I don't understand
Why you let the things you did get so out of hand.","","","","","","(Jesus Christ) Superstar","Jesus Christ Superstar|Superstar","""(Jesus Christ) Superstar"" is from Jesus Christ Superstar.","","","text","song_title","lyric_excerpt","jesus_christ_superstar","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0215","general","text","Name the musical theatre song from these lyrics:

I wore my coat, with golden lining
Bright colours shining, wonderful and new","","","","","","Any Dream Will Do","","""Any Dream Will Do"" is from Joseph and the Amazing Technicolor Dreamcoat.","","","text","song_title","lyric_excerpt","joseph_and_the_amazing_technicolor_dreamcoat","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0216","general","text","Name the musical theatre song from these lyrics:

Just give me a number
Instead of my name","","","","","","Close Every Door","","""Close Every Door"" is from Joseph and the Amazing Technicolor Dreamcoat.","","","text","song_title","lyric_excerpt","joseph_and_the_amazing_technicolor_dreamcoat","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0217","general","text","Name the musical theatre song from these lyrics:

You know you had a dozen sons -
Well now that's not quite true
But feel no sorrow, do not grieve,
He would not want you to","","","","","","One More Angel in Heaven","","""One More Angel in Heaven"" is from Joseph and the Amazing Technicolor Dreamcoat.","","","text","song_title","lyric_excerpt","joseph_and_the_amazing_technicolor_dreamcoat","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0218","general","text","Name the musical theatre song from these lyrics:

If she says your behaviour is heinous
Kick her right in the ""Coriolanus.""","","","","","","Brush up Your Shakespeare","","""Brush up Your Shakespeare"" is from Kiss Me, Kate.","","","text","song_title","lyric_excerpt","","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0219","general","text","Name the musical theatre song from these lyrics:

According to the Kinsey Report
Ev'ry average man you know
Much prefers to play his favourite sport
When the temperature is low","","","","","","Too Darn Hot","","""Too Darn Hot"" is from Kiss Me, Kate.","","","text","song_title","lyric_excerpt","","",""
